triplet_id,source,none_logit,none_prob,argmax,pairwise_divergence,is_false_none
positive_00000,positive,-0.01444641500711441,0.24906706809997559,2,0.19566666666666666,False
positive_00001,positive,0.06931775063276291,0.2690199613571167,3,0.4561,True
positive_00002,positive,0.007765365764498711,0.252638041973114,2,0.0681,False
positive_00003,positive,0.03731407970190048,0.2569896876811981,2,0.20766666666666667,False
positive_00004,positive,0.04968084394931793,0.2654687464237213,3,0.45636666666666664,True
positive_00005,positive,-0.013282092288136482,0.24912568926811218,2,0.04123333333333334,False
positive_00006,positive,-0.015158751979470253,0.25059545040130615,2,0.20916666666666664,False
positive_00007,positive,0.024439489468932152,0.25640708208084106,3,0.4547999999999999,True
positive_00008,positive,0.036305803805589676,0.2607821524143219,3,0.04020000000000001,True
positive_00009,positive,-0.010389013215899467,0.24783264100551605,2,0.2167,False
positive_00010,positive,0.0626470223069191,0.27128854393959045,3,0.4538333333333333,True
positive_00011,positive,0.02905622310936451,0.2576148509979248,3,0.040100000000000004,True
positive_00012,positive,-0.03326352685689926,0.24008920788764954,2,0.21083333333333332,False
positive_00013,positive,0.015870850533246994,0.2495851069688797,0,0.4526666666666667,False
positive_00014,positive,-0.0008585755713284016,0.25272369384765625,2,0.041833333333333333,False
positive_00015,positive,0.021645519882440567,0.25935375690460205,3,0.24780000000000002,True
positive_00016,positive,0.038613539189100266,0.2572117745876312,3,0.4532333333333334,True
positive_00017,positive,-0.00947185792028904,0.2501989006996155,2,0.041,False
positive_00018,positive,0.09611796587705612,0.2717708349227905,3,0.2695666666666667,True
positive_00019,positive,0.09852484613656998,0.27598458528518677,3,0.4541666666666666,True
positive_00020,positive,0.02707834728062153,0.25896939635276794,2,0.04123333333333334,False
positive_00021,positive,0.07454391568899155,0.27452823519706726,3,0.2743,True
positive_00022,positive,0.07103966921567917,0.2706458270549774,3,0.4519333333333333,True
positive_00023,positive,-0.0025773937813937664,0.25080180168151855,2,0.02076666666666667,False
positive_00024,positive,0.10210885107517242,0.27965930104255676,3,0.2619666666666667,True
positive_00025,positive,0.02965281344950199,0.2544589936733246,3,0.45426666666666665,True
positive_00026,positive,-0.006442745681852102,0.2505590319633484,2,0.041166666666666664,False
positive_00027,positive,-0.023302432149648666,0.25016066431999207,2,0.2566,False
positive_00028,positive,0.028637928888201714,0.2546691596508026,3,0.45310000000000006,True
positive_00029,positive,-0.016043560579419136,0.24650390446186066,2,0.041699999999999994,False
positive_00030,positive,-0.010906161740422249,0.24871310591697693,1,0.16803333333333334,False
positive_00031,positive,0.06026444211602211,0.2681708037853241,3,0.4538,True
positive_00032,positive,0.04235353693366051,0.2586784064769745,3,0.040100000000000004,True
positive_00033,positive,-0.03243172913789749,0.24898256361484528,2,0.23066666666666666,False
positive_00034,positive,0.06807702779769897,0.26577675342559814,3,0.45376666666666665,True
positive_00035,positive,0.005073067266494036,0.2523150146007538,2,0.041166666666666664,False
